1,词汇和惯用语,1347,1,,1347,,,
2,寓言童话成语故事,1116,1,,1116,,,
3,神话传说及故事,1011,1,,1011,,,
4,诗歌韵文,1010,1,,1010,,,
5,名家名篇,895,1,,895,,,
6,传统节日,771,1,,771,,,
7,汉字,686,1,,686,,,
8,建筑及景点,680,1,,680,,,
9,近现代名人,636,1,,636,,,
10,城市及景点,620,1,,620,,,
11,古代名人,514,1,,514,,,
12,饮食流派及地方风味,469,2,,469,469,,
13,歌谣,454,2,,,454,,
14,自然地貌及景点,434,2,,,434,,
15,烟酒茶,406,2,,,406,,
16,旅游景点,403,2,,,403,,
17,小说,363,2,,,363,,
18,谜语绕口令,320,2,
19,曲艺,300,2,
20,婚恋生育,294,2,,,294,,
21,标准语,287,2,,,287,,
22,主食和菜肴,285,2,,,285,,
23,姓名,279,2,,,279,,
24,教育制度,265,2,,,265,,
25,问候寒暄,263,2,,,263,,
26,生态环境,234,2,,,234,,
27,家庭结构和观念,233,2,,,233,,
28,人口,230,2,,,230,,
29,经济政策,217,2,,,217,,
30,气候天气,211,2,,,211,,
31,锻炼身体,205,2,,,205,,
32,第三产业,199,2,,,199,,
33,行政区划,193,2,,,193,,
34,社群和职业,192,2,,,192,,
35,语言文字和数字,189,2,,,189,,
36,学生生活,186,2,,,186,,
37,注音,177,2,,,177,,
38,民族族群,175,2,,,175,,
39,格言警句,172,2,,,172,,
40,社交称谓,170,2,,,170,,
41,城市交通系统,170,2,,,170,,
42,法律法规,165,2,,,165,,
43,工艺品,165,2,,,165,,
44,消费观念,164,2,,,164,,
45,教育观念,162,2,,,162,,
46,货币,162,2,,,162,,
47,婚礼,160,2,,,160,,
48,两性地位,159,2,,,159,,
49,旅行,156,2,,,156,,
50,购物场所,156,2,,,156,,
51,方言,152,2,,,152,,
52,区域及景点,147,2,,,147,,
53,亲子关系,146,2,,,146,,
54,政治制度和政府机构,146,2,,,146,,
55,流行音乐,146,2,,,146,,
56,出生,142,3,,,142,142,
57,亲属称谓,140,3,,,,140,
58,影视作品,139,3,,,,139,
59,就业失业,138,3,,,,138,
60,电话短信,135,3,,,,135,
61,书法篆刻,130,3,,,,130,
62,动植物,125,3,,,,125,
63,动植物和器物,119,3,,,,119,
64,铁路,118,3,,,,118,
65,国家间对比,115,3,,,,115,
66,古代发明,114,3,,,,114,
67,外交,113,3,,,,113,
68,写信寄信,113,3,,,,113,
69,拜访做客,111,3,,,,111,
70,现代历史事件,109,3,,,,109,
71,讨价还价及打折,109,3,,,,109,
72,烹饪方法,104,3,,,,104,
73,中国体育,103,3,,,,103,
74,非传统节日,100,3,,,,100,
75,送礼收礼,98,3,,,,98,
76,社会救济及服务,98,3,,,,98,
77,养生保健,94,3,,,,94,
78,职场,94,3,,,,94,
79,就餐地点,94,3,,,,94,
80,节庆饮食,94,3,,,,94,
81,看病就医,92,3,,,,92,
82,生日,89,3,,,,89,
